id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo,real_time,internal_msg
1,MSS1,90,73,0,unknown,-15.999999343603013,0.20900000000000002,185,0.010946392689652917,4.2995245691133077e-8,364,156,365,0,0,189,0,0,185,0,0,0,0,0,0,0,0,0,0,,0.22497081756591797,Restoration_Failed
2,WAYSEA1NE,2,2,0,first_order,0.0,0.003,7,0.0,2.7140425906679866e-8,8,9,8,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,,0.0038061141967773438,Solve_Succeeded
3,BROWNDENE,4,20,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0028471946716308594,Not_Enough_Degrees_Of_Freedom
4,HS79,5,3,0,first_order,0.07877682107949913,0.002,4,3.412663325541576e-9,3.88762644298879e-9,5,6,5,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,,0.002526998519897461,Solve_Succeeded
5,GULFNE,3,99,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011949539184570312,Not_Enough_Degrees_Of_Freedom
6,JUDGENE,2,20,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011401176452636719,Not_Enough_Degrees_Of_Freedom
7,STRTCHDVNE,10,9,0,first_order,0.0,0.004,7,2.2461606960989875e-9,4.1475447977943815e-5,8,9,8,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,,0.004544973373413086,Solve_Succeeded
8,TRIGON1NE,10,10,0,first_order,0.0,0.002,4,0.0,1.7789128392564635e-8,5,6,5,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,,0.002553224563598633,Solve_Succeeded
9,PENLT1NE,10,11,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.001119852066040039,Not_Enough_Degrees_Of_Freedom
10,BA-L1SP,57,12,0,first_order,0.0,0.005,4,3.927273451053737e-9,8.361756333512583e-5,5,6,5,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,,0.005614042282104492,Solve_Succeeded
11,EXPFITNE,2,10,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.001135110855102539,Not_Enough_Degrees_Of_Freedom
12,SSINE,3,2,0,first_order,0.0,0.116,226,2.4201085579989012e-11,3.4989520144954754e-9,986,228,1001,0,0,228,0,0,226,0,0,0,0,0,0,0,0,0,0,,0.1328270435333252,Solve_Succeeded
13,HS7,2,1,0,first_order,-1.7320512698720718,0.013999999999999999,26,9.998969360269783e-7,1.6014655570550929e-6,27,28,57,0,0,28,0,0,26,0,0,0,0,0,0,0,0,0,0,,0.014438152313232422,Solve_Succeeded
14,BOX3NE,3,10,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011298656463623047,Not_Enough_Degrees_Of_Freedom
15,HS48,5,2,0,first_order,3.944304526105059e-31,0.001,1,1.4988010832439613e-15,4.440892098500626e-16,2,3,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,,0.001194000244140625,Solve_Succeeded
16,BT9,4,2,0,first_order,-1.000000584621599,0.006,12,2.8412677609793e-6,2.985079988929451e-7,13,14,13,0,0,14,0,0,12,0,0,0,0,0,0,0,0,0,0,,0.006040811538696289,Solve_Succeeded
17,S308NE,2,3,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011141300201416016,Not_Enough_Degrees_Of_Freedom
18,MGH17S,5,33,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00115203857421875,Not_Enough_Degrees_Of_Freedom
19,DENSCHNDNE,3,3,0,first_order,0.0,0.007,17,0.0,4.067447330267901e-5,18,19,18,0,0,19,0,0,17,0,0,0,0,0,0,0,0,0,0,,0.007967948913574219,Solve_Succeeded
20,CERI651B,7,66,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.001177072525024414,Not_Enough_Degrees_Of_Freedom
21,THURBER,7,37,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011551380157470703,Not_Enough_Degrees_Of_Freedom
22,CERI651E,7,64,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0012040138244628906,Not_Enough_Degrees_Of_Freedom
23,BARDNE,3,15,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.001135110855102539,Not_Enough_Degrees_Of_Freedom
24,GOTTFR,2,2,0,first_order,0.0,0.002,4,0.0,1.3534057228925533e-5,8,6,8,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,,0.0026471614837646484,Solve_Succeeded
25,STREGNE,4,2,0,first_order,0.0,0.0,2,0.0,8.881784197001252e-15,3,4,3,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,,0.0016369819641113281,Solve_Succeeded
26,PENLT2NE,4,8,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011639595031738281,Not_Enough_Degrees_Of_Freedom
27,HS42,4,2,0,first_order,13.857864363069993,0.002,3,6.163048738017096e-8,5.2056328136984575e-9,4,5,4,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,,0.002076864242553711,Solve_Succeeded
28,HS27,3,1,0,first_order,0.03999915157723905,0.022000000000000002,55,2.4776998475794386e-5,2.1306605457193068e-5,146,57,155,0,0,58,0,0,54,0,0,0,0,0,0,0,0,0,0,,0.028818845748901367,Solve_Succeeded
29,DENSCHNBNE,2,3,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011038780212402344,Not_Enough_Degrees_Of_Freedom
30,DIXCHLNG,10,5,0,first_order,2471.897826536685,0.002,9,4.618053912906068e-5,2.7978398264849602e-8,10,11,10,0,0,11,0,0,9,0,0,0,0,0,0,0,0,0,0,,0.004698038101196289,Solve_Succeeded
31,VARDIMNE,10,12,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011439323425292969,Not_Enough_Degrees_Of_Freedom
32,HIMMELBE,3,3,0,first_order,0.0,0.001,2,0.0,2.220446049250313e-16,3,4,3,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,,0.0015969276428222656,Solve_Succeeded
33,CERI651A,7,61,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011649131774902344,Not_Enough_Degrees_Of_Freedom
34,MISRA1C,2,14,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0010981559753417969,Not_Enough_Degrees_Of_Freedom
35,HATFLDG,25,25,0,first_order,0.0,0.004,6,0.0,5.963876605008522e-6,19,8,21,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,,0.004231929779052734,Solve_Succeeded
36,BT11,5,3,0,first_order,0.8248564189588459,0.003,6,0.0006069712495848645,3.0787809851606784e-5,7,8,7,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,,0.003267049789428711,Solve_Succeeded
37,MARATOS,2,1,0,first_order,-1.0000000159657785,0.002,3,3.937205073652418e-8,3.193162267518384e-8,4,5,4,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,,0.0019519329071044922,Solve_Succeeded
38,JENSMPNE,2,10,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011038780212402344,Not_Enough_Degrees_Of_Freedom
39,MANCINONE,100,100,0,first_order,0.0,0.148,4,0.0,2.399119125584548e-9,5,6,5,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,,0.043415069580078125,Solve_Succeeded
40,LSC1,3,6,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011219978332519531,Not_Enough_Degrees_Of_Freedom
41,CHWIRUT2,3,54,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011098384857177734,Not_Enough_Degrees_Of_Freedom
42,BT6,5,2,0,first_order,0.27704475025229097,0.006,12,1.2211721215772686e-5,6.100664798891486e-7,17,14,17,0,0,14,0,0,12,0,0,0,0,0,0,0,0,0,0,,0.006340980529785156,Solve_Succeeded
43,ORTHREGB,27,6,0,first_order,4.524607631658204e-20,0.002,2,2.0435192572409705e-10,1.9729751166153164e-10,3,4,3,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,,0.0018849372863769531,Solve_Succeeded
44,HS6,2,1,0,first_order,0.0,0.001,5,0.0,0.0,7,7,7,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,,0.0032358169555664062,Solve_Succeeded
45,HS28,3,1,0,first_order,3.0814879110195774e-31,0.001,1,9.43689570931383e-16,4.440892098500626e-16,2,3,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,,0.0011310577392578125,Solve_Succeeded
46,WATSONNE,12,31,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011301040649414062,Not_Enough_Degrees_Of_Freedom
47,DEVGLA1NE,4,24,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011639595031738281,Not_Enough_Degrees_Of_Freedom
48,CUBENE,2,2,0,first_order,0.0,0.001,1,0.0,1.9984014443252818e-14,3,3,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,,0.0012819766998291016,Solve_Succeeded
49,HS40,4,3,0,first_order,-0.2500118377823483,0.001,2,0.00015980780776397863,2.036359227786111e-5,3,4,3,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,,0.0015828609466552734,Solve_Succeeded
50,ELATVIDUNE,2,3,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011320114135742188,Not_Enough_Degrees_Of_Freedom
51,HATFLDF,3,3,0,first_order,0.0,0.132,136,0.0,4.812912652710222e-6,1333,131,1592,0,0,139,0,0,135,0,0,0,0,0,0,0,0,0,0,,0.1406412124633789,Solve_Succeeded
