id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
1,MSS1,90,73,0,max_iter,-38.31183722209472,5.082732915878296,3000,0.010142243352651015,0.020339133039590257,4936,3001,4936,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
2,WAYSEA1NE,2,2,0,first_order,0.0,0.0008139610290527344,7,5.004423637635416e-10,2.7141439762345954e-8,8,8,8,0,0,7,0,15,7,0,0,0,0,0,0,0,0,0,0,
3,BROWNDENE,4,20,0,max_iter,0.0,0.29724907875061035,3000,0.000213623046875,178.97779172104188,14922,3001,14922,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
4,HS79,5,3,0,first_order,0.0787768208442975,0.00046706199645996094,6,5.992631391116277e-10,6.154943665848123e-9,7,7,7,0,0,6,0,13,6,0,0,0,0,0,0,0,0,0,0,
5,GULFNE,3,99,0,first_order,0.0,0.007302999496459961,14,3.0558621178023744e-8,1.469238619655755e-10,19,15,19,0,0,14,0,29,14,0,0,0,0,0,0,0,0,0,0,
6,JUDGENE,2,20,0,max_iter,0.0,0.39992594718933105,3000,5.258038527244935e-5,2.0808256836127166,89428,3001,89428,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
7,STRTCHDVNE,10,9,0,first_order,0.0,0.0009140968322753906,8,2.011799379888185e-6,8.838533959383525e-6,9,9,9,0,0,8,0,17,8,0,0,0,0,0,0,0,0,0,0,
8,TRIGON1NE,10,10,0,first_order,0.0,0.0005960464477539062,4,5.68221122989404e-7,1.8749178209986894e-8,5,5,5,0,0,4,0,9,4,0,0,0,0,0,0,0,0,0,0,
9,PENLT1NE,10,11,0,first_order,0.0,0.0007059574127197266,8,4.0747227734775947e-7,9.74325692531744e-6,9,9,9,0,0,8,0,17,8,0,0,0,0,0,0,0,0,0,0,
10,BA-L1SP,57,12,0,first_order,0.0,0.01721501350402832,4,1.3453111789164381e-17,6.385038727802677e-13,5,5,5,0,0,4,0,9,4,0,0,0,0,0,0,0,0,0,0,
