id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
1,MSS1,90,73,0,max_time,-15.990169157459773,30.035900831222534,10,13.253184256600493,0.00035738493952766696,2309,2264,2356,0,0,0,1278308,1280570,0,1278305,0,0,0,0,0,0,0,0,0,
2,WAYSEA1NE,2,2,0,first_order,0.0,0.0015439987182617188,6,2.857759107087484e-6,1.125675075113647e-8,30,36,25,0,0,0,161,196,0,161,0,0,0,0,0,0,0,0,0,
3,BROWNDENE,4,20,0,infeasible,131072.0,0.020044803619384766,16,0.0,292.9542649500645,130,148,219,0,0,0,2658,2806,0,2658,0,0,0,0,0,0,0,0,0,
4,HS79,5,3,0,first_order,0.07877682094157933,0.0026209354400634766,6,6.664622192103254e-12,1.88936665777386e-9,44,43,47,0,0,0,422,463,0,418,0,0,0,0,0,0,0,0,0,
5,GULFNE,3,99,0,first_order,0.0,0.0538640022277832,6,9.928341243352684e-11,7.846311604216761e-9,52,50,57,0,0,0,402,451,0,402,0,0,0,0,0,0,0,0,0,
6,JUDGENE,2,20,0,infeasible,-32.0,0.008162975311279297,16,0.0,4.010203253322754,65,83,88,0,0,0,1909,1992,0,1909,0,0,0,0,0,0,0,0,0,
7,STRTCHDVNE,10,9,0,first_order,2.8314985545577436e-30,0.0036950111389160156,3,5.58831033418199e-6,1.3271900459959532e-14,21,21,22,0,0,0,134,154,0,134,0,0,0,0,0,0,0,0,0,
8,TRIGON1NE,10,10,0,first_order,2.0679515313825692e-25,0.0025110244750976562,5,6.741460682152514e-7,1.7782731700793651e-6,20,22,19,0,0,0,185,206,0,185,0,0,0,0,0,0,0,0,0,
9,PENLT1NE,10,11,0,infeasible,-4.656612873077393e-10,0.08431196212768555,31,0.6588951876041402,2.6622776600352656e-5,1861,1549,2561,0,0,0,22940,24489,0,22940,0,0,0,0,0,0,0,0,0,
10,BA-L1SP,57,12,0,first_order,0.0,0.21960711479187012,5,2.3949691274146195e-7,2.5653125728254786e-6,23,25,24,0,0,0,939,963,0,939,0,0,0,0,0,0,0,0,0,
11,EXPFITNE,2,10,0,infeasible,0.0,0.01376485824584961,18,0.5045601499390533,0.4904187945002294,180,197,304,0,0,0,2679,2876,0,2679,0,0,0,0,0,0,0,0,0,
12,SSINE,3,2,0,first_order,3.977084385154957e-21,0.2409191131591797,7,3.4256648729147954e-7,9.638929609926548e-6,6664,4406,8923,0,0,0,115036,119441,0,115036,0,0,0,0,0,0,0,0,0,
13,HS7,2,1,0,first_order,-1.732050807323665,0.003049135208129883,6,1.4416713115194634e-11,8.494405179249043e-10,92,76,110,0,0,0,608,682,0,606,0,0,0,0,0,0,0,0,0,
14,BOX3NE,3,10,0,first_order,1.9614237547415238e-26,0.003317117691040039,8,8.976330019050224e-13,3.7487941327442646e-9,38,48,31,0,0,0,282,329,0,282,0,0,0,0,0,0,0,0,0,
15,HS48,5,2,0,first_order,0.0,0.0011360645294189453,5,2.4126510435400514e-13,3.1707771908437873e-9,11,17,6,0,0,0,45,60,0,42,0,0,0,0,0,0,0,0,0,
16,BT9,4,2,0,first_order,-0.9999980336657244,0.0026481151580810547,6,2.0839209396443918e-9,1.390412394737296e-6,64,64,89,0,0,0,530,592,0,527,0,0,0,0,0,0,0,0,0,
17,S308NE,2,3,0,infeasible,0.5,0.009289026260375977,16,0.0,0.8793173809796572,198,215,354,0,0,0,2654,2869,0,2654,0,0,0,0,0,0,0,0,0,
18,MGH17S,5,33,0,infeasible,-3.0517578125e-5,6.661341190338135,30,255.0974873344609,0.007392492609047792,17921,10931,25098,0,0,0,434682,445613,0,434682,0,0,0,0,0,0,0,0,0,
19,DENSCHNDNE,3,3,0,first_order,-1.0587911840678754e-22,0.0046579837799072266,9,2.0907953514916205e-13,1.3684418409977985e-6,129,113,150,0,0,0,898,1010,0,898,0,0,0,0,0,0,0,0,0,
20,CERI651B,7,66,0,infeasible,0.0,0.8456559181213379,16,0.0,9.792615242802023,453,537,513,0,0,0,15749,16286,0,15749,0,0,0,0,0,0,0,0,0,
21,THURBER,7,37,0,infeasible,0.0,0.07564401626586914,16,0.0,75.1179621639661,234,247,409,0,0,0,5383,5630,0,5383,0,0,0,0,0,0,0,0,0,
